<DATE>,<OPEN>,<CLOSE>
20000101,101.76,102.16
20000104,103.14,105.38
20000107,107.25,106.27
20000110,107.22,107.07
20000113,106.97,107.38
20000116,107.52,108.98
20000119,109.74,109.86
20000122,110.31,110.64
20000125,112.13,111.93
20000128,112.24,111.39
20000131,108.83,109.49
20000203,110.35,109.61
20000206,111.88,110.42
20000209,110.47,110.28
20000212,111.82,113.29
20000215,113.44,113.82
20000218,112.93,110.95
20000221,110.6,110.76
20000224,111.99,113.19
20000227,112.8,112.5
20000301,111.45,110.03
20000304,108.33,110.28
20000307,109.77,109.33
20000310,108.08,108.85
20000313,107.24,107.03
20000316,106.13,106.52
20000319,106.01,104.83
20000322,104.8,105.23
20000325,105.29,105.6
20000328,104.96,104.6
20000331,103.93,103.57
20000403,102.75,101.03
20000406,101.21,100.8
20000409,99.17,99.64
20000412,98.73,98.78
20000415,99.51,99.64
20000418,100.78,99.54
20000421,99.95,99.26
20000424,98.39,97.81
20000427,97.5,97.56
20000430,96.39,97.29
20000503,97.76,96.22
20000506,97.71,99.61
20000509,100.78,100.6
20000512,99.53,100.59
20000515,100.19,101.41
20000518,101.62,102.59
20000521,102.95,103.66
20000524,103.67,105.45
20000527,105.58,105.98
20000530,107.86,106.52
20000602,105.25,106.22
20000605,105.04,106.99
20000608,106.57,105.82
20000611,107.75,109.23
20000614,111.1,112.0
20000617,111.14,113.05
20000620,112.78,113.58
20000623,114.53,114.38
20000626,114.99,115.91
20000629,116.29,115.19
20000702,115.49,116.82
20000705,116.12,115.97
20000708,115.54,117.38
20000711,118.06,118.46
20000714,117.69,118.23
20000717,117.56,117.59
20000720,116.96,117.63
20000723,118.21,118.0
20000726,118.4,117.3
20000729,115.81,116.25
20000801,116.42,117.05
20000804,119.44,120.38
20000807,119.47,120.59
20000810,119.27,118.81
20000813,118.74,120.45
20000816,119.71,118.88
20000819,118.78,118.12
20000822,119.25,118.17
20000825,117.02,116.58
20000828,116.08,118.01
20000831,118.96,119.05
20000903,117.82,118.67
20000906,117.67,116.12
20000909,117.31,117.63
20000912,118.55,118.87
20000915,119.72,119.07
20000918,118.04,118.72
20000921,117.92,117.23
20000924,116.77,116.79
20000927,116.44,115.06
20000930,114.42,112.19
20001003,112.82,111.22
20001006,110.11,110.17
20001009,109.43,110.97
20001012,109.68,109.94
20001015,109.9,108.74
20001018,109.26,109.09
20001021,109.86,110.68
20001024,112.85,114.18
20001027,113.81,113.57
20001030,114.67,115.33
20001102,115.97,114.35
20001105,114.33,113.59
20001108,113.87,113.77
20001111,114.68,115.0
20001114,115.78,115.32
20001117,114.37,113.96
20001120,113.95,114.33
20001123,116.59,116.54
20001126,115.59,115.24
20001129,114.78,115.26
20001202,113.72,113.78
20001205,113.94,114.17
20001208,113.57,113.33
20001211,111.91,111.42
20001214,110.87,111.29
20001217,110.13,110.92
20001220,112.41,110.34
20001223,110.77,111.44
20001226,110.81,110.41
20001229,110.28,109.98
20010101,109.67,107.99
20010104,109.15,110.22
20010107,109.41,107.95
20010110,108.47,107.89
20010113,108.03,107.71
20010116,108.4,109.1
20010119,108.37,106.99
20010122,105.41,106.02
20010125,104.83,104.32
20010128,103.73,103.67
20010131,101.74,101.93
20010203,102.45,102.54
20010206,102.23,102.32
20010209,102.72,99.95
20010212,101.91,102.3
20010215,101.64,101.25
20010218,101.75,101.63
20010221,99.6,101.67
20010224,101.55,102.57
20010227,101.88,103.42
20010302,103.71,104.31
20010305,103.27,104.48
20010308,105.17,106.47
20010311,105.84,105.36
20010314,107.67,106.61
20010317,106.47,107.61
20010320,107.71,108.29
20010323,107.89,108.26
20010326,106.95,108.61
20010329,108.49,107.81
20010401,108.48,108.02
20010404,106.68,105.34
20010407,106.03,105.87
20010410,105.74,106.82
20010413,105.69,104.96
20010416,104.57,104.67
20010419,104.62,104.34
20010422,104.28,104.17
20010425,103.45,102.64
20010428,102.91,102.02
20010501,100.86,100.55
20010504,100.39,102.65
20010507,101.94,102.89
20010510,103.64,102.45
20010513,103.22,102.04
20010516,99.38,99.98
20010519,98.23,98.68
20010522,97.99,99.65
20010525,100.72,100.27
20010528,99.58,98.37
20010531,97.93,97.65
20010603,97.28,97.44
20010606,98.02,98.37
20010609,97.6,96.16
20010612,97.53,96.84
20010615,96.19,95.67
20010618,93.82,93.34
20010621,92.86,93.48
20010624,94.18,94.19
20010627,95.12,95.46
20010630,95.44,95.6
20010703,95.41,95.02
20010706,94.75,93.62
20010709,93.9,92.91
20010712,93.75,93.5
20010715,93.55,94.05
20010718,94.69,93.12
20010721,92.91,93.79
20010724,92.09,92.48
20010727,90.23,89.2
20010730,89.24,87.58
20010802,86.6,85.13
20010805,86.78,86.94
20010808,87.51,87.28
20010811,86.93,85.31
20010814,85.02,84.26
20010817,85.12,86.26
20010820,87.73,88.58
20010823,87.98,86.86
20010826,87.63,87.99
20010829,86.22,86.57
20010901,87.39,87.45
20010904,87.26,86.46
20010907,85.01,85.81
20010910,85.5,85.27
20010913,87.0,87.68
20010916,88.05,88.2
20010919,89.72,91.44
20010922,92.37,92.95
20010925,90.85,90.98
20010928,90.85,90.94
20011001,91.88,89.14
20011004,88.57,88.84
20011007,88.38,86.96
20011010,87.83,88.11
20011013,87.14,87.45
20011016,88.27,88.28
20011019,89.08,89.16
20011022,88.76,87.6
20011025,87.52,87.71
20011028,88.59,88.47
20011031,88.93,87.96
20011103,87.18,87.07
20011106,86.02,86.84
20011109,87.3,87.58
20011112,87.92,89.94
20011115,89.47,87.27
20011118,87.47,87.42
20011121,86.9,85.92
20011124,85.48,85.66
20011127,85.16,87.57
20011130,86.61,85.82
20011203,83.53,83.78
20011206,81.77,81.23
20011209,80.95,80.24
20011212,81.98,82.97
20011215,84.29,83.41
20011218,84.54,85.03
20011221,85.81,86.84
20011224,85.93,85.5
20011227,86.37,83.71
20011230,85.22,85.78
20020102,85.73,85.95
20020105,84.92,84.57
20020108,85.67,86.97
20020111,89.67,89.59
20020114,88.93,88.42
20020117,87.4,87.32
20020120,87.71,87.67
20020123,88.77,88.53
20020126,88.19,87.6
20020129,85.97,84.4
20020201,83.23,84.53
20020204,85.42,86.8
20020207,85.46,83.5
20020210,82.84,83.01
20020213,83.51,84.56
20020216,84.84,86.59
20020219,86.36,85.45
20020222,83.77,82.88
20020225,83.12,82.23
20020228,83.17,84.58
20020303,82.21,83.08
20020306,80.84,81.24
20020309,82.46,82.53
20020312,81.25,80.66
20020315,80.4,80.22
20020318,80.02,79.91
20020321,80.12,78.91
20020324,78.67,80.19
20020327,79.8,79.36
20020330,80.44,77.88
20020402,79.06,78.43
20020405,78.59,78.69
20020408,79.63,79.36
20020411,78.68,79.98
20020414,77.62,77.64
20020417,76.29,75.53
20020420,77.54,77.5
20020423,77.69,75.91
20020426,75.18,75.38
20020429,75.73,76.35
20020502,76.36,76.88
20020505,77.34,75.51
20020508,75.54,76.31
20020511,76.9,76.54
20020514,75.73,74.61
20020517,74.48,75.62
20020520,73.67,73.01
20020523,71.87,72.65
20020526,72.1,71.63
20020529,71.41,71.85
20020601,71.46,68.42
20020604,68.96,69.4
20020607,69.18,68.09
20020610,68.45,68.83
20020613,68.36,68.14
20020616,67.21,67.03
20020619,65.48,65.9
20020622,64.95,65.19
20020625,63.78,63.19
20020628,63.08,61.42
20020701,61.54,61.16
20020704,59.42,58.11
20020707,58.72,59.61
20020710,59.48,59.89
20020713,60.11,60.44
20020716,61.73,60.22
20020719,60.9,60.51
20020722,60.29,59.99
20020725,59.61,58.39
20020728,58.57,60.24
20020731,60.18,60.18
20020803,59.5,59.38
20020806,59.84,59.47
20020809,59.02,59.42
20020812,58.51,58.76
20020815,59.58,60.94
20020818,60.85,62.22
20020821,63.25,62.25
20020824,61.04,60.73
20020827,61.76,61.69
20020830,61.09,62.64
20020902,62.93,60.61
20020905,60.92,61.44
20020908,61.67,62.12
20020911,62.05,60.73
20020914,60.36,59.42
20020917,58.48,57.22
20020920,57.67,57.77
20020923,57.32,56.67
20020926,56.65,57.73
20020929,55.72,56.1
20021002,55.56,53.67
20021005,51.73,50.81
20021008,51.03,51.43
20021011,50.49,51.5
20021014,52.93,53.32
20021017,52.73,53.86
20021020,54.61,55.48
20021023,54.82,51.99
20021026,54.1,52.49
20021029,52.46,54.84
20021101,55.17,56.12
20021104,54.62,52.84
20021107,52.3,53.4
20021110,53.05,52.25
20021113,52.45,53.53
20021116,52.09,50.88
20021119,50.09,51.19
20021122,51.42,53.55
20021125,54.49,54.45
20021128,55.72,55.93
20021201,55.23,55.91
20021204,55.21,54.92
20021207,56.25,56.14
20021210,55.34,54.88
20021213,55.9,55.35
20021216,54.96,54.45
20021219,54.63,54.25
20021222,52.65,51.76
20021225,50.83,52.07
20021228,52.88,53.47
20021231,52.96,52.15
20030103,51.64,50.59
20030106,53.09,50.84
20030109,51.4,50.12
20030112,50.02,49.03
20030115,47.85,46.71
20030118,48.47,48.33
20030121,47.57,48.12
20030124,48.13,48.85
20030127,47.03,47.33
20030130,48.1,46.44
20030202,46.89,48.59
20030205,48.57,49.39
20030208,50.06,49.36
20030211,49.4,47.83
20030214,47.38,47.64
20030217,48.37,48.39
20030220,49.11,48.01
20030223,47.91,47.93
20030226,49.78,49.56
20030301,49.06,49.08
20030304,48.17,48.36
20030307,47.99,46.2
20030310,46.14,45.83
20030313,44.19,44.13
20030316,45.62,46.14
20030319,46.75,45.41
20030322,45.88,46.03
20030325,46.56,46.98
20030328,45.62,45.58
20030331,44.82,44.77
20030403,43.88,45.19
20030406,44.33,43.43
20030409,43.51,42.43
20030412,42.0,41.17
20030415,42.59,43.37
20030418,43.31,42.92
20030421,43.86,44.27
20030424,44.77,44.74
20030427,43.05,42.94
20030430,42.41,43.05
20030503,44.06,43.41
20030506,43.88,45.61
20030509,44.94,46.63
20030512,45.77,45.8
20030515,45.78,45.8
20030518,44.96,44.37
20030521,43.7,44.03
20030524,44.36,46.58
20030527,47.95,47.44
20030530,47.77,48.77
20030602,48.8,48.73
20030605,48.78,49.65
20030608,48.8,48.47
20030611,48.94,49.25
20030614,49.49,49.12
20030617,50.1,52.23
20030620,52.64,52.44
20030623,53.2,52.66
20030626,51.91,51.94
20030629,49.36,48.21
20030702,47.86,46.5
20030705,45.47,45.03
20030708,43.39,42.99
20030711,42.45,42.48
20030714,43.63,43.8
20030717,43.82,43.92
20030720,44.15,43.13
20030723,43.02,43.33
20030726,41.96,42.82
20030729,43.9,43.27
20030801,43.03,42.15
20030804,42.85,41.79
20030807,41.57,40.71
20030810,40.76,38.97
20030813,40.29,39.33
20030816,39.39,39.18
20030819,38.41,37.53
20030822,38.46,37.94
20030825,38.21,37.41
20030828,36.76,37.23
20030831,38.16,37.99
20030903,36.56,38.56
20030906,37.71,36.16
20030909,38.76,38.35
20030912,36.89,36.21
20030915,36.58,36.77
20030918,35.92,37.74
20030921,37.22,36.03
20030924,36.99,38.32
20030927,37.5,36.1
20030930,37.13,35.09
20031003,33.86,34.83
20031006,34.77,34.51
20031009,34.86,34.71
20031012,33.41,34.69
20031015,36.01,36.22
20031018,36.26,38.6
20031021,38.32,38.06
20031024,38.43,39.9
20031027,41.49,41.23
20031030,41.54,40.16
20031102,39.85,39.01
20031105,38.01,39.69
20031108,38.89,38.36
20031111,38.73,40.03
20031114,40.51,43.27
20031117,43.19,43.45
20031120,43.73,45.16
20031123,45.67,45.55
20031126,44.61,44.85
20031129,46.25,45.84
20031202,46.37,46.62
20031205,47.48,46.67
20031208,49.02,47.74
20031211,47.38,48.31
20031214,48.61,49.44
20031217,48.95,48.87
20031220,48.88,50.45
20031223,51.14,51.94
20031226,51.28,52.25
20031229,52.48,53.86
20040101,55.88,55.57
20040104,55.17,54.3
20040107,54.16,53.78
20040110,54.14,53.99
20040113,53.63,54.69
20040116,53.76,54.19
20040119,53.78,54.51
20040122,55.89,55.59
20040125,56.03,56.21
20040128,55.41,55.65
20040131,55.94,56.35
